@RELATION 'BUG_CRASH'

@ATTRIBUTE Comment string
@ATTRIBUTE Class-Attribute {Crash,Bug,Other}

@DATA
'the overall satisfaction is good but the system is not really intuitive',Other
'lack of explanation about submitting a report when we paid with the corporate card which doesnt make sense to me',Other
'youre doing finestill not as intuitive or computer led as  would like',Other
'eems user friendly although not much in promptsinstructions well see whether ve done everything necessary',Other
'ot the most intuitive application to ues',Other
'oor   have a charge off by $ and there is no provision to ingnore such small difference  wasting hours to resolve this',Other
'ot user friendly  ',Other
'great!',Other
'n excellent tool for reports!',Other
'complicated',Other
'great program  love it',Other
'ot user friendly ne has to make multiple entries for one expense t should be a way to combine the one reports',Other
'ot user friendly',Other
'too many unnecessary questions',Other
'his is the first time  have used the system',Other
'individual tube travel takes ages to key cant we submit a journey planner and one receipt',Other
'o facility to claim for use of a bicycle (which was previously and presumably still is in the expenses policy) receipts demanded on non receipted non  items such as meter parking tube fares etc',Other
'fairy easy to use!',Other
'verly complicated',Other
'ou should not reject  receipts and ask me to declare that there is no receipt his is how   business does receipts lease make your team awarehank you',Other
't seems sensible owever the overall feel is like filling in a spread sheet which is not very appealing',Other
'he conversion to match the exact change is very time consuming s there a better way to address reconciling a penny difference due to monetary conversions  did like the option to not have to add receipts for all items his made the process much quicker',Other
's not intuitive at all',Other
'ery good and clear',Other
'istema rimane a caricare per molto tempo e poi si perdono i dati istema non intuitivo',Other
'sempre un sistema complesso ma migliorato',Other
'light vendor drop downhe vendor name is in the box beside it could this not be automatedtherwise easy as normal',Other
'if  could recall my last successful entry example  and just add my next lot of expenses and just fill out expenses claim that would be great setting up a new expense code never works always an issue you cant review your last entry from months ago to identify what you did successfully or incorrectly ',Other
'ystem is clunky  too many steps and not intuitive',Other
' find this system very hard to use!',Other
'll good',Other
'make receipts able to be attached to more than  expense item ometimes a receipt has  different expense items and once it is attached to the first  it is not able to b used again',Other
'eed raining and anual',Other
'voyager does not produce separate invoice for booking fees and  needed to take screenshot for the same',Other
